glass_type,stock,bar
cocktail glass,8,budapest
shot glass,31,budapest
martini glass,13,budapest
highball glass,37,budapest
collins glass,37,budapest
old-fashioned glass,39,budapest
whiskey sour glass,38,budapest
champagne flute,6,budapest
margarita glass,31,budapest
beer pilsner,48,budapest
coupe glass,43,budapest
punch bowl,40,budapest
coffee mug,38,budapest
beer mug,41,budapest
pint glass,36,budapest
hurricane glass,46,budapest
pitcher,37,budapest
beer glass,40,budapest
irish coffee cup,48,budapest
mason jar,40,budapest
balloon glass,48,budapest
wine glass,44,budapest
cordial glass,47,budapest
brandy snifter,45,budapest
copper mug,33,budapest
jar,39,budapest
nick and nora glass,44,budapest
white wine glass,49,budapest
whiskey glass,35,budapest
pousse cafe glass,38,budapest
margarita/coupette glass,35,budapest
cocktail glass,42,london
shot glass,33,london
martini glass,12,london
highball glass,6,london
collins glass,44,london
old-fashioned glass,8,london
whiskey sour glass,31,london
champagne flute,39,london
margarita glass,38,london
beer pilsner,37,london
coupe glass,48,london
punch bowl,45,london
coffee mug,32,london
beer mug,42,london
pint glass,41,london
hurricane glass,44,london
pitcher,33,london
beer glass,41,london
irish coffee cup,47,london
mason jar,48,london
balloon glass,34,london
wine glass,31,london
cordial glass,44,london
brandy snifter,48,london
coper mug,45,london
jar,32,london
nick and nora glass,35,london
white wine glass,39,london
whiskey glass,42,london
pousse cafe glass,43,london
margarita/coupette glass,44,london
cocktail glass,211,new york
shot glass,32,new york
martini glass,14,new york
highball glass,34 glasses,new york
collins glass,11,new york
old-fashioned glass,35,new york
whiskey sour glass,42,new york
champagne flute,13,new york
margarita glass,40,new york
beer pilsner,36,new york
coupe glass,34,new york
punch bowl,36,new york
coffee mug,48,new york
beer mug,35,new york
pint glass,35,new york
hurricane glass,32,new york
pitcher,42,new york
beer glass,48,new york
irish coffee cup,33,new york
mason jar,35,new york
balloon glass,33,new york
wine glass,36,new york
cordial glass,45,new york
brandy snifter,45,new york
copper mug,46,new york
jar,43,new york
nick and nora glass,33,new york
white wine glass,39,new york
whiskey glass,47,new york
pousse cafe glass,34,new york
margarita/coupette glass,35,new york
